timestamp,source_ip,username,auth_method,service,status,message
2026-09-18 00:35:26,192.168.1.227,alice,ssh_key,sshd,FAILURE,Authentication failure; logname= uid=0 euid=0
2026-09-18 00:35:52,10.0.3.187,leo,kerberos,rdp,SUCCESS,Accepted publickey for user
2026-09-18 00:55:44,172.16.5.112,maria,2fa,api_server,SUCCESS,Authentication successful
2026-09-18 01:08:44,10.0.14.234,alice,ssh_key,sshd,SUCCESS,Kerberos TGT validated
2026-09-18 01:59:05,172.16.6.196,wendy,ssh_key,sshd,SUCCESS,Kerberos TGT validated
2026-09-18 03:11:31,10.0.41.159,quinn,kerberos,sshd,SUCCESS,Accepted publickey for user
2026-09-18 03:22:35,10.0.23.155,charlie,ssh_key,sshd,SUCCESS,Login accepted via PAM
2026-09-18 03:50:23,10.0.30.98,arun,ssh_key,vpn_gateway,SUCCESS,Session opened for user
2026-09-18 04:03:52,192.168.1.98,alice,password,sshd,SUCCESS,Access granted — session initiated
2026-09-18 05:08:11,172.16.9.156,bhaskar,password,web_portal,SUCCESS,User authenticated successfully
2026-09-18 05:20:36,192.168.1.161,eve,password,sshd,SUCCESS,Authentication successful
2026-09-18 05:22:09,10.0.4.59,eve,password,web_portal,SUCCESS,Kerberos TGT validated
2026-09-18 05:22:44,10.0.42.118,charlie,certificate,api_server,SUCCESS,Access granted — session initiated
2026-09-18 05:40:50,192.168.1.109,arun,password,api_server,SUCCESS,Access granted — session initiated
2026-09-18 06:08:28,192.168.1.99,frank,password,sshd,SUCCESS,Session opened for user
2026-09-18 06:29:25,10.0.3.8,peter,ssh_key,api_server,FAILURE,error: maximum authentication attempts exceeded
2026-09-18 06:31:41,10.0.24.42,victor,ssh_key,sshd,SUCCESS,User authenticated successfully
2026-09-18 06:42:00,10.0.8.250,yuki,2fa,api_server,SUCCESS,Session opened for user
2026-09-18 06:42:15,192.168.1.161,wendy,password,rdp,SUCCESS,Session opened for user
2026-09-18 06:49:14,10.0.1.195,eve,2fa,web_portal,SUCCESS,Accepted publickey for user
2026-09-18 06:57:05,192.168.1.138,karen,password,sshd,FAILURE,"Permission denied (publickey,password)"
2026-09-18 06:57:11,10.0.24.57,jack,password,sshd,SUCCESS,Access granted — session initiated
2026-09-18 06:58:22,10.0.24.42,olivia,ssh_key,web_portal,SUCCESS,Login accepted via PAM
2026-09-18 07:14:03,10.0.42.118,tina,password,sshd,FAILURE,Connection closed by authenticating user [preauth]
2026-09-18 07:14:20,10.0.49.87,rachel,ssh_key,sshd,SUCCESS,Accepted publickey for user
2026-09-18 07:14:32,172.16.2.223,xander,ssh_key,vpn_gateway,SUCCESS,Login accepted via PAM
